word,label,sentence
cycle,A2,Yesterday I rode my cycle to the park because the weather was nice.
daily,A2,Yesterday I bought a daily bus pass because I needed to travel to work and visit my friend.
danger,A2,He did not go into the water because he saw the danger sign.
data,A2,I looked at the sales data because I wanted to know which items were popular.
dead,A2,The plant was dead because I forgot to water it for two weeks.
deal,A2,I made a good deal on my train ticket because I booked it early.
death,A2,"The old man was very sad because his dog died, and he cried at the death of his friend."
decision,A2,She made a decision to buy the blue jacket because it was cheaper.
deep,A2,"The water in the pool was very deep, so I did not swim there."
definitely,A2,I will definitely go to the supermarket tomorrow because I need to buy milk and bread.
degree,A2,She wore a warm coat because the temperature was only one degree above zero.
dentist,A2,I went to the dentist yesterday because I had a toothache.
department,A2,He went to the department store yesterday because he wanted to buy a new jacket.
depend,A2,I depended on the bus to get to school because my bike was broken.
desert,A2,He walked across the hot desert because he wanted to find water.
designer,A2,He bought a designer shirt because it was on sale at the store.
destroy,A2,The storm destroyed the old tree in my garden because the wind was very strong.
detective,A2,The detective looked for clues because he wanted to solve the mystery.
develop,A2,I developed a good habit of reading every night because it helps me relax.
device,A2,He used a small device to call his friend because his phone was broken.
diary,A2,I wrote in my diary yesterday because I wanted to remember my trip to the beach.
differently,A2,He did his homework differently yesterday because the teacher gave new instructions.
digital,A2,Yesterday I used a digital map because I wanted to find the new supermarket.
direct,A2,He took the direct train to the airport because it was faster.
direction,A2,He asked for directions because he was lost in the city.
director,A2,The director watched the movie and said it was very good.
disagree,A2,We disagreed about the price because I thought it was too expensive.
disappear,A2,The cat disappeared under the bed because it was scared of the loud noise.
disaster,A2,The picnic was a disaster because it rained all afternoon.
discover,A2,Yesterday I discovered a new café near my house because my friend told me about it.
discovery,A2,Yesterday I made a discovery in my bag because I found my old keys.
discussion,A2,We had a discussion about our holiday plans because we could not agree on a destination.
disease,A2,He went to the doctor because he had a disease and needed medicine.
distance,A2,We walked a long distance to the park because we wanted to see the lake.
divorced,A2,My aunt got divorced last year because she and her husband were not happy together.
document,A2,"She needed a special document for her trip, and she asked the travel agent for help."
double,A2,He paid double for the ticket because he bought it at the airport.
download,A2,I downloaded the music because I wanted to listen to it on the bus.
drama,A2,We watched a drama on television last night because it was about a family.
drawing,A2,Yesterday I did a drawing of my house because I wanted to show it to my friend.
dream,A2,I dreamed about visiting the beach because I love the ocean.
driving,A2,He was driving to the supermarket because he needed to buy milk and bread.
drop,A2,I dropped my shopping bag because it was too heavy.
drug,A2,He took the drug because the doctor said it would help him feel better.
dry,A2,Yesterday I hung my clothes outside because the sun was hot and they were dry in one hour.
earn,A2,He earned some money last summer because he helped his neighbor in the garden.
earth,A2,The farmer planted seeds in the earth because he wanted vegetables to grow.
easily,A2,He found his way to the hotel easily because he had a map.
education,A2,He finished his education last year and then started looking for a job.
effect,A2,"The medicine had a good effect, and she felt much better because of it."
either,A2,He did not buy the red shirt or the blue one because he did not like either colour.
electric,A2,He bought an electric fan because his room was too hot.
electrical,A2,He bought an electrical fan because his room was very hot.
electricity,A2,Yesterday we had no electricity because a storm damaged the power lines.
electronic,A2,He bought an electronic dictionary because he wanted to learn new words.
employ,A2,She will employ a new assistant because the shop is very busy.
employee,A2,The employee finished her work early because she had a doctor's appointment.
employer,A2,My employer gave me a new schedule because I asked for more hours.
empty,A2,The glass was empty because I drank all the water.
ending,A2,The movie had a happy ending because the hero saved everyone.
energy,A2,"He had no energy after the long walk, so he sat down to rest."
engine,A2,"The car had a problem with its engine, so my father took it to the garage yesterday."
engineer,A2,He wanted to be an engineer because he liked to fix cars and machines.
enormous,A2,"The bag was enormous, and I could not carry it to the bus stop."
enter,A2,He entered the shop because he wanted to buy a gift for his friend.
environment,A2,The children cleaned the park because they wanted to help the environment.
equipment,A2,He bought new camping equipment because he wanted to go hiking next summer.
error,A2,I made an error in my shopping list because I forgot to write milk.
especially,A2,I enjoyed the holiday because the weather was especially nice for swimming.
essay,A2,I wrote an essay about my holiday because my teacher asked me to.
everyday,A2,I wore my everyday shoes to the park because they are very comfortable.
everywhere,A2,"We looked for my keys everywhere in the house, and I finally found them under the sofa."
evidence,A2,The police found evidence at the house because someone broke the window.
exact,A2,He asked for the exact change because he did not have any small bills.
exactly,A2,He arrived at the station at exactly eight o'clock because his train left at that time.
excellent,A2,"The food at the restaurant was excellent, and we enjoyed our dinner very much."
except,A2,I ate all the vegetables on my plate except the carrots because I do not like them.
exist,A2,"The dinosaurs did not exist when my grandmother was a child, and we only know about them from fossils."
expect,A2,"I expected the bus to arrive at 8 o'clock, but it was late because of the traffic."
experience,A2,I had a good experience at the restaurant because the food was delicious.
experiment,A2,Yesterday we did a fun experiment in class because we wanted to see what happens when we mix colors.
expert,A2,He asked the expert for help because he wanted to buy a good computer.
explanation,A2,He asked for an explanation because he did not understand the bus schedule.
express,A2,She expressed her thanks to the shop assistant because he helped her find the right size.
expression,A2,He used a funny expression because he wanted to make his friends laugh.
extreme,A2,"The weather was extreme yesterday, so we stayed inside and watched movies."
extremely,A2,"The weather was extremely hot yesterday, so we stayed inside and drank cold water."
factor,A2,"The weather was a big factor in our decision to go to the beach, and we stayed home because it was raining."
factory,A2,He visited the old factory yesterday because his father worked there.
fail,A2,I failed the math test because I did not study enough.
fair,A2,The price was fair because the jacket was good quality.
fan,A2,Yesterday I bought a fan because my room was very hot.
farming,A2,"Last year, my uncle worked in farming because he wanted to grow vegetables for the local market."
fashion,A2,She bought a new dress because she wanted to follow the latest fashion.
fear,A2,She felt fear during the storm because the wind was very loud.
feature,A2,The hotel had a nice feature because it had a swimming pool and a playground.
feed,A2,The word feed is commonly used in everyday language.
female,A2,The female doctor helped me because I felt very sick.
fiction,A2,I read a fiction book about a detective last week because I like mystery stories.
field,A2,He played in the field with his friends because the weather was nice.
fight,A2,They had a big fight yesterday because he forgot to buy milk.
figure,A2,He could not figure out the price because the tag was missing.
finally,A2,We finally arrived at the hotel because the bus was very slow.
finger,A2,"She cut her finger while she was chopping vegetables for dinner, and she had to put a bandage on it."
firstly,A2,"Firstly, I went to the shop because I needed milk, and then I bought bread."
fishing,A2,Yesterday we went fishing at the lake because the weather was sunny and warm.
fit,A2,"The jacket did not fit me, so I took it back to the shop."
fix,A2,He fixed his bicycle yesterday because he wanted to ride to the park.
flu,A2,He stayed home from school because he had the flu.
flying,A2,We enjoyed flying to the beach last summer because the weather was beautiful.
focus,A2,Yesterday I could not focus on my homework because the music was too loud.
following,A2,We went to the following shop because it had the best prices.
foreign,A2,She learned a few words of the foreign language before her trip because she wanted to ask for directions.
forest,A2,We walked through the forest yesterday because we wanted to see the tall trees and the animals.
fork,A2,I put a fork next to the plate because we were going to eat dinner.
formal,A2,He wore a formal suit to the party because it was a special event.
fortunately,A2,"Fortunately, I found my keys because I looked in my bag."
forward,A2,She looked forward to her holiday because she wanted to visit the beach.
fresh,A2,I bought some fresh bread from the bakery because it was still warm.
fridge,A2,"I put the milk in the fridge because it was warm, and I wanted to keep it cold."
frog,A2,Yesterday I saw a green frog in the garden because it was raining.
furniture,A2,We bought new furniture for the living room because the old sofa was broken.
further,A2,"He wanted to travel further, but he did not have enough money for the bus."
gallery,A2,We visited the art gallery yesterday because my sister wanted to see the paintings.
gap,A2,He missed the bus because there was a big gap between the platform and the train.
gas,A2,He stopped at the gas station because his car needed fuel for the trip.
gate,A2,We walked to the airport gate because our plane was ready to leave.
general,A2,"The general store was closed yesterday, so I went to the supermarket instead."
gift,A2,She bought a gift for her friend because it was her birthday.
goal,A2,"My goal was to buy a gift for my friend, so I went to the shop after school."
god,A2,She prayed to god for help because she was very scared during the storm.
gold,A2,She bought a gold necklace because it was on sale at the shop.
golf,A2,He played golf with his friends last weekend because the weather was nice.
government,A2,The government closed the old library because it needed repairs.
grass,A2,We sat on the grass in the park because the weather was nice.
greet,A2,He greeted his friend at the airport because he was happy to see him.
ground,A2,He sat on the ground because he was tired from walking.
guest,A2,The guest stayed at the hotel for three nights because she was visiting the city.
guide,A2,The guide showed us the museum because we were lost.
gun,A2,He put the toy gun in his bag because he wanted to play with his friend later.
guy,A2,The guy helped me carry my bags because they were very heavy.
habit,A2,He had a habit of buying bread every morning because he liked it fresh.
hall,A2,"We walked down the long hall to find our hotel room, and I carried the heavy bags."
happily,A2,She smiled happily because she found her favourite book at the shop.
headache,A2,I had a headache yesterday because I stayed up too late watching a movie.
heart,A2,He walked to the park because his heart was beating fast.
heat,A2,"Yesterday, I turned on the heater because the heat in my room was not enough."
heavy,A2,The bag was heavy because I put too many books inside.
height,A2,He measured the height of the door because he wanted to buy a new table.
helpful,A2,The shop assistant was very helpful because she found the right size for me.
hero,A2,My dad was my hero because he helped me fix my bike yesterday.
hers,A2,"She forgot her umbrella at home, so I let her borrow mine because hers was still wet."
herself,A2,She bought a new dress for herself and her sister because they were going to a party.
hide,A2,The word hide is commonly used in everyday language.
hill,A2,"We walked up the hill to see the sunset, and it was very beautiful."
himself,A2,He bought a gift for himself because it was his birthday.
hit,A2,He hit the ball hard and ran to first base because he wanted to score a point.
hockey,A2,Yesterday I played hockey with my friends because it was a sunny day.
hold,A2,The word hold is commonly used in everyday language.
hole,A2,I fell into a hole in the park yesterday because I was not looking where I was going.
huge,A2,"The bag was huge, and I could not carry it home."
human,A2,"The robot was not a human, and it could not help me carry my bags."
hurt,A2,"She hurt her knee when she fell, and she cried because it was very painful."
ideal,A2,The hotel was ideal for our holiday because it was near the beach and had a pool.
identify,A2,The word identify is commonly used in everyday language.
ill,A2,He stayed home from school yesterday because he felt ill.
illness,A2,He stayed home from school yesterday because he had a serious illness.
image,A2,He took a picture of the old building because he liked the image of the city.
immediately,A2,He called the doctor immediately because he felt very sick.
impossible,A2,It was impossible to find a parking spot near the supermarket because the street was very busy.
included,A2,The price of the ticket included a free drink and a snack because it was a special offer.
including,A2,"I bought some fruit at the shop, including apples and bananas, because I wanted to make a healthy snack."
increase,A2,The price of bread increased because there was not enough flour.
incredible,A2,"The movie was incredible, and I watched it twice because I loved the story."
independent,A2,She was very independent and did her shopping alone because she liked to choose everything herself.
individual,A2,Each individual bought a ticket for the train because they wanted to travel to the city.
industry,A2,"The factory was part of the car industry, and my father worked there for many years."
informal,A2,We wore informal clothes to the party because it was a casual event.
injury,A2,He could not play football yesterday because he had a leg injury.
insect,A2,"I saw an insect in the garden yesterday, and I told my mother because she was afraid of it."
inside,A2,We stayed inside the hotel because it was raining.
instead,A2,He decided to take the bus instead of walking because it was raining.
instruction,A2,I read the instruction carefully before I used the new washing machine.
instructor,A2,The instructor helped me with my homework because I did not understand the lesson.
instrument,A2,He bought a musical instrument for his brother because he wanted to learn the guitar.
intelligent,A2,The cat was very intelligent and learned how to open the kitchen door by itself.
international,A2,He traveled to an international airport because his flight was leaving soon.
introduction,A2,He gave a short introduction before the movie started because many people were new to the story.
invent,A2,He invented a new game for his friends because they were bored.
invention,A2,The telephone was a very important invention because it changed how people talk to each other.
invitation,A2,I accepted the invitation to the party because my friend asked me to come.
invite,A2,I will invite my friend to the party because she loves dancing.
involve,A2,The shopping trip will involve buying food and checking the prices because we have a small budget.
item,A2,I bought one item at the shop because it was on sale.
itself,A2,The cat cleaned itself after eating its dinner because it was very tired.
jam,A2,I bought some strawberry jam because I wanted to make sandwiches for the picnic.
jazz,A2,I listened to jazz on the radio yesterday because it helps me relax.
jewellery,A2,She bought some jewellery at the shop because it was her mother's birthday.
joke,A2,"He told a funny joke at dinner, and everyone laughed because it was very silly."
journalist,A2,The journalist wrote a story about the local festival because she wanted to share the news.
jump,A2,The cat jumped onto the table because it wanted the fish.
kid,A2,The kid played in the park because the weather was nice.
kill,A2,He killed the spider because it scared his sister.
king,A2,The king visited the small town because he wanted to meet the people.
knee,A2,"I hurt my knee when I fell in the park, and my mother put a bandage on it."
knife,A2,He used a knife to cut the bread because it was too hard to break.
knock,A2,He knocked on the door because he wanted to ask for directions.
knowledge,A2,She learned a lot of knowledge about cooking because she watched many videos.
lab,A2,"We went to the lab for our science class, and we did an experiment with water."
lady,A2,The lady bought a blue dress and a hat because she wanted to look nice for the party.
lake,A2,We went to the lake last weekend because the weather was nice.
laptop,A2,I bought a laptop yesterday because I need it for my online classes.
laughter,A2,The children heard laughter from the park because they were playing a funny game.
law,A2,He learned the law about driving fast because he got a ticket.
lawyer,A2,"My uncle was a lawyer, and he helped people with their problems."
lazy,A2,He was lazy yesterday and did not clean his room because he wanted to watch TV.
leader,A2,He was the leader of our group because he knew the way to the park.
learning,A2,Yesterday I started learning how to cook rice because I want to make dinner for my family.
least,A2,He chose the least expensive shirt because he wanted to save money.
lecture,A2,Yesterday I went to a lecture about healthy food because I want to learn more about cooking.
lemon,A2,I bought a lemon at the shop because I wanted to make lemonade.
lend,A2,The word lend is commonly used in everyday language.
less,A2,I bought less milk yesterday because the shop was almost closed.
lifestyle,A2,He changed his lifestyle because he wanted to be healthier and save money.
lift,A2,He lifted the heavy box onto the table because it was in the way.
likely,A2,"It will likely rain tomorrow, so I will take my umbrella."
link,A2,I linked my train ticket to my hotel booking because it was easier for my trip.
listener,A2,The listener enjoyed the music because it was very relaxing.
lock,A2,I locked the door before I left for school because my mom told me to.
lorry,A2,The lorry arrived late because it was stuck in traffic.
lost,A2,He lost his phone at the park because he left it on the bench.
loud,A2,"The music at the party was very loud, and I could not hear my friend."
loudly,A2,He spoke loudly on the phone because the train was very noisy.
lovely,A2,We had a lovely picnic in the park because the weather was sunny and warm.
low,A2,"The price was low, so I bought two bags of rice."
luck,A2,He had good luck at the shop because he found a cheap jacket.
lucky,A2,He was lucky because he found his lost wallet on the bus.
mail,A2,I mailed the letter yesterday because it was important.
major,A2,He chose a major in business because he wanted to work in a bank.
male,A2,The male teacher helped the students with their bags because they were heavy.
manage,A2,She managed to buy all the groceries because the store was not too busy.
manager,A2,"The manager helped me find my size, and I bought the shoes because they were on sale."
manner,A2,He spoke in a polite manner because he wanted to help the customer.
mark,A2,She put a mark on the calendar because she wanted to remember the party.
marry,A2,They will marry next summer because they want a big wedding in the garden.
material,A2,She bought some cotton material because she wanted to make a dress.
mathematics,A2,He studied mathematics yesterday because he had a test today.
maths,A2,Yesterday I did my maths homework because we have a test tomorrow.
matter,A2,It did not matter that the shop was far away because we had plenty of time.
media,A2,I watched the news on social media yesterday because I wanted to know the weather.
medical,A2,He went to the medical clinic because he had a bad cough.
medicine,A2,I took the medicine because I had a headache.
memory,A2,I had a good memory of my holiday because I played on the beach every day.
mention,A2,She mentioned the price of the tickets because her friend asked about the cost.
metal,A2,He bought a metal spoon at the shop because his old one broke.
method,A2,He used a new method to clean his room because it was faster.
middle,A2,He sat in the middle of the bus because all the other seats were taken.
might,A2,I might go to the supermarket after work because I need to buy some milk.
mind,A2,I didn't mind the long walk because the weather was nice.
mine,A2,"I found a blue pen on the floor, but it was not mine because my pen is black."
mirror,A2,I looked in the mirror before school because my hair was messy.
missing,A2,"I was missing my favorite book yesterday, so I looked for it in my bag."
mobile,A2,I bought a new mobile yesterday because my old one stopped working.
monkey,A2,"I saw a monkey at the zoo yesterday, and it was eating a banana."
moon,A2,We looked at the moon last night because it was very bright.
mostly,A2,We mostly stayed at the hotel because the weather was bad.
motorcycle,A2,He rode his motorcycle to the beach because he wanted to enjoy the sunny weather.
movement,A2,The train made a sudden movement because the driver saw an animal on the tracks.
musical,A2,I went to the musical with my family because we all love music.
musician,A2,"Yesterday I saw a musician in the park, and he played the guitar very well."
myself,A2,I bought a gift for myself because it was my birthday.
narrow,A2,"The path was very narrow, so we walked slowly and carefully."
national,A2,Yesterday we watched a national football match on television because my brother loves sports.
nature,A2,We walked in the park yesterday because we wanted to enjoy the nature.
nearly,A2,I nearly missed the bus because I woke up late.
necessary,A2,It was necessary to buy a ticket before we got on the train.
neck,A2,He hurt his neck because he slept in a strange position on the plane.
neither,A2,"She wanted to buy the blue dress and the red one, but she chose neither because they were too expensive."
nervous,A2,He was nervous before his first driving lesson because he did not practice enough.
network,A2,I joined a local network because I wanted to meet new people.
noise,A2,"The noise from the street was very loud, so I closed the window."
noisy,A2,The restaurant was very noisy because there were many people talking and laughing.
none,A2,There were none of the apples left in the bowl because my brother ate them all.
normal,A2,"Yesterday the weather was normal for winter, so I wore my warm coat."
normally,A2,She normally walked to school because it was not far from her house.
notice,A2,I did not notice the price of the milk because I was in a hurry.
novel,A2,I read a novel about a detective because I wanted to relax before bed.
nowhere,A2,I looked for my keys everywhere but found them nowhere.
nut,A2,I ate a nut with my apple because I wanted a healthy snack.
ocean,A2,We went to the ocean last summer because we wanted to swim and play on the beach.
offer,A2,He offered to help me carry my bags because they were very heavy.
officer,A2,The police officer helped the lost boy because he was crying.
oil,A2,He put oil in the pan because he wanted to cook the eggs.
onto,A2,He climbed onto the bus because he was late for school.
opportunity,A2,"She had an opportunity to visit her grandmother last weekend, and she was very happy."
option,A2,He chose the red shirt because it was the only option in his size.
ordinary,A2,Yesterday I bought an ordinary blue shirt because it was on sale.
organization,A2,The school organization helped the students plan their trip because they needed to book the bus and hotel.
organize,A2,I organized my desk because I wanted to find my books easily.
original,A2,I bought the original painting because it was cheaper than the copy.
ourselves,A2,We bought the tickets ourselves because we wanted to save money.
oven,A2,I used the oven to bake a cake because my friend was coming for dinner.
owner,A2,The owner of the shop was happy because many customers came yesterday.
pack,A2,Yesterday I packed my bag because we are going to the beach tomorrow.
pain,A2,She went to the doctor because she had a pain in her leg.
painter,A2,Yesterday I saw a painter in the park because he was making a picture of the trees.
palace,A2,We visited the old palace yesterday and took many photos because the gardens were beautiful.
pants,A2,Yesterday I bought new pants because my old ones had a hole.
parking,A2,We found a parking spot near the shop because we arrived early.
particular,A2,He chose a particular shirt because it was his favorite color.
pass,A2,I will pass my driving test next month because I practiced a lot.
passenger,A2,The passenger waited for the bus because it was late.
patient,A2,She was very patient at the airport because her flight was delayed.
pattern,A2,I bought a dress with a flower pattern because I liked the colors.
peace,A2,They felt peace in the garden because the birds were singing and the sun was warm.
penny,A2,She saved her penny every day because she wanted to buy a new book.
per,A2,"The apples cost two dollars per kilogram, so I bought three kilograms."
perform,A2,She performed a song at the school concert because her teacher asked her to.
perhaps,A2,Perhaps I will buy a blue shirt tomorrow because it is cheaper.
permission,A2,He asked for permission to leave early because he had a doctor's appointment.
personality,A2,His funny personality made everyone laugh at the party because he told many jokes.
pet,A2,"She wanted a pet, so she went to the animal shop after school."
petrol,A2,He stopped at the petrol station because his car needed fuel for the long drive.
physical,A2,He went to the doctor for a physical check-up because he felt tired.
physics,A2,I studied physics in school because I wanted to understand how light works.
pick,A2,Yesterday I picked a red apple from the tree because it looked ripe.
pilot,A2,The pilot flew the plane to the island because the weather was good.
planet,A2,"Last night we watched a show about space, and I learned that our planet moves very fast around the sun."
plastic,A2,She bought a plastic bottle of water because she was very thirsty.
plate,A2,He washed the plate after dinner because it was dirty.
platform,A2,He waited on the platform because his train was late.
pleased,A2,I was pleased with my new shoes because they were very comfortable.
pocket,A2,She put her money in her pocket because she did not want to lose it.
polite,A2,He was polite to the shop assistant because he wanted to ask for help.
pollution,A2,The air in the city was very bad yesterday because there was a lot of pollution from cars.
pop,A2,Yesterday I heard a loud pop because my balloon burst.
population,A2,The population of the small town grew quickly because many new families moved there last year.
position,A2,He took the best position in the queue because he arrived early.
possession,A2,"He lost his favourite possession, a small toy car, because he left it on the bus."
possibility,A2,"There is a possibility of rain tomorrow, so I will take my umbrella."
poster,A2,He bought a poster of his favorite band because he wanted to put it on his bedroom wall.
power,A2,"Yesterday the power went out, so we used candles to see in the dark."
predict,A2,I predict it will rain tomorrow because the sky is very dark.
president,A2,The president visited our school yesterday because he wanted to meet the students.
prevent,A2,"The rain did not prevent us from going to the park, so we had a nice walk."
print,A2,I printed the photos from my holiday because I wanted to put them in an album.
printer,A2,I bought a new printer yesterday because my old one stopped working.
prison,A2,He went to prison because he stole a car.
prize,A2,I won a prize at the school fair because I guessed the number of sweets in the jar.
process,A2,I processed my photos after the trip because I wanted to share them with my family.
produce,A2,"Yesterday, my father bought some fresh fruit and vegetables from the farm because they produce the best food in our area."
professional,A2,He wore a suit to the meeting because he wanted to look professional.
professor,A2,The professor helped me with my homework because I did not understand the lesson.
profile,A2,I updated my online profile with a new photo because I wanted my friends to recognize me.
program,A2,I watched a program about animals on TV last night because I love nature.
progress,A2,She made good progress in her English class because she studied every day.
promise,A2,She promised to buy milk on her way home because the shop closes early.
pronounce,A2,"She could not pronounce the name of the street, so she asked the driver for help."
protect,A2,He wore a helmet when he rode his bike because he wanted to protect his head.
provide,A2,The hotel will provide towels and soap because guests need them for their stay.
pub,A2,We went to the pub after work because my friend wanted to celebrate.
public,A2,We took the public bus to the park because it was cheaper than driving.
publish,A2,She will publish her story in the school magazine next week because she wants her friends to read it.
pull,A2,He pulled the door open because his hands were full of shopping bags.
purpose,A2,The purpose of my trip to the shop was to buy milk and bread.
push,A2,He pushed the shopping cart because it was very heavy.
quality,A2,"The quality of the fruit was very good, so I bought some for my family."
quantity,A2,I bought a large quantity of apples because they were on sale.
queen,A2,The queen visited the school yesterday because she wanted to meet the children.
quietly,A2,He closed the door quietly because his baby sister was sleeping.
race,A2,He ran in the race yesterday because he wanted to win a medal.
railway,A2,We took the railway to the beach because it was faster than the bus.
raise,A2,He raised his hand because he wanted to ask a question.
rate,A2,I rated the hotel three stars because the room was very clean.
rather,A2,She decided to buy the blue dress rather than the red one because it was cheaper.
reach,A2,We did not reach the hotel until late because our flight was delayed.
react,A2,He did not react to the news because he was very tired.
realize,A2,I realized I forgot my wallet because I could not pay for the groceries.
receive,A2,I received a gift from my friend because it was my birthday.
recent,A2,I bought a new book last week because my recent one was lost during my trip.
recently,A2,I recently bought a new jacket because my old one was too small.
reception,A2,The reception was very busy when we arrived at the hotel because many guests were checking in.
recipe,A2,I used my grandmother's recipe to bake a cake because it was my brother's birthday.
recognize,A2,I recognized the shop because I saw it on my travel map yesterday.
recommend,A2,I recommended the blue jacket to my friend because it was warm and cheap.
record,A2,He recorded the song on his phone because he wanted to share it with his family.
recording,A2,I made a recording of my favorite song because I wanted to listen to it later.
recycle,A2,Yesterday I recycled my old newspapers and plastic bottles because I wanted to help the environment.
reduce,A2,I reduced my shopping list because I wanted to save money.
refer,A2,She referred to the map because she was lost in the city.
region,A2,We visited a famous wine region during our holiday because my parents love trying local drinks.
regular,A2,He bought a regular coffee every morning because he liked the taste.
relationship,A2,He had a good relationship with his neighbor because they often helped each other.
remaining,A2,He ate the remaining pizza because he was very hungry.
remove,A2,He removed his shoes because they were wet from the rain.
repair,A2,He repaired his bicycle yesterday because he wanted to ride it to school.
replace,A2,I replaced my old phone because the screen was broken.
reply,A2,She did not reply to my message because she was busy with her homework.
reporter,A2,The reporter asked many questions because he wanted to write a story about the school.
request,A2,He requested a refund for the broken toy because it did not work.
research,A2,I did some research on the internet before my trip because I wanted to find a cheap hotel.
researcher,A2,The researcher asked many questions because she wanted to learn about people's shopping habits.
respond,A2,She did not respond to my question because she was busy shopping.
response,A2,He gave a quick response to my question about the bus schedule because we were in a hurry.
rest,A2,"After the long walk in the park, I will rest because I am very tired."
review,A2,I reviewed my homework because the teacher asked us to check for mistakes.
rise,A2,"The sun will rise early tomorrow, so we can go to the beach."
rock,A2,He picked up a small rock from the path and put it in his pocket because he liked the color.
role,A2,"He played the role of a shopkeeper in the school play, and he enjoyed it very much."
roof,A2,The cat climbed onto the roof because it wanted to see the birds.
round,A2,We walked round the park yesterday because the weather was nice.
route,A2,We took the longer route because the main road was closed.
rubbish,A2,I put the rubbish in the bin because it was full.
rude,A2,The waiter was rude to us yesterday because he forgot our order and did not say sorry.
runner,A2,The runner finished the race quickly because he trained every day.
running,A2,Yesterday I was running in the park because I wanted to exercise.
sadly,A2,He sadly left the party early because he was feeling very tired.
safe,A2,He locked the door because he wanted to feel safe.
sail,A2,We sailed across the lake last summer because the weather was very nice.
sailing,A2,We went sailing on the lake last weekend because the weather was sunny and warm.
salary,A2,He got a new job because his salary was too low.
sale,A2,I went to the shop because there was a big sale on shoes.
sauce,A2,I bought some pasta and sauce at the shop because I wanted to make dinner.
save,A2,She saved her money because she wanted to buy a new bicycle.
scared,A2,He was scared of the big dog because it barked loudly.
scary,A2,"The movie was scary, so I closed my eyes during the dark scenes."
scene,A2,The police arrived at the scene of the accident because someone called for help.
schedule,A2,I scheduled my doctor's appointment for next Tuesday because I felt sick.
score,A2,He scored a goal in the game because his team needed to win.
screen,A2,I checked the movie times on my phone screen because I wanted to go to the cinema.
search,A2,He searched for his keys in the living room because he wanted to go to the store.
season,A2,I went to the beach last season because the weather was warm and sunny.
seat,A2,He took a seat near the window because the train was very crowded.
secondly,A2,"Firstly I will buy some bread, and secondly I will get milk because we need them for breakfast."
secret,A2,She kept her travel plans a secret because she wanted to surprise her family.
secretary,A2,The secretary called me yesterday because she needed my travel documents.
seem,A2,The shop seemed very busy because there were many people inside.
sense,A2,I sensed something was wrong because the shop was closed early.
separate,A2,We put the white clothes in a separate pile because they needed a different wash.
series,A2,I watched a series of short videos about cooking because I wanted to learn new recipes.
serious,A2,"He had a serious problem with his car, so he went to the mechanic."
serve,A2,He served dinner to his family because they were all very hungry.
service,A2,The service at the restaurant was very slow because there were many customers.
several,A2,He bought several apples at the shop because he wanted to make a pie.
shake,A2,The word shake is commonly used in everyday language.
shall,A2,I shall buy some bread and milk because we have none left.
shape,A2,Yesterday I bought a new bag because I liked its shape and color.
sheet,A2,He put a clean sheet on the bed because his friend was coming to stay.
ship,A2,She shipped the gift to her friend because she wanted it to arrive before the holiday.
shoulder,A2,He carried the heavy bag on his shoulder because he wanted to help his friend.
shout,A2,He shouted at his friend because the music was too loud.
shut,A2,He shut the door because the noise from the street was too loud.
side,A2,We sat on the side of the road because we were tired from walking.
sign,A2,He saw the sign for the bus stop and waited there because he wanted to go to the city center.
silver,A2,She bought a silver necklace at the shop because it was on sale.
simple,A2,"The recipe was simple, so I made dinner for my family."
since,A2,She has been happy since she moved to her new house.
singing,A2,She enjoyed singing in the school choir because it made her happy.
single,A2,He bought a single ticket for the bus because he was only going one stop.
sir,A2,"The man said thank you to the shop assistant because he helped him, sir."
site,A2,We visited the old castle site because it was famous.
size,A2,I bought the blue shirt because it was the right size for me.
ski,A2,Yesterday I went to the mountains with my family because I wanted to ski on the snow.
skiing,A2,Last winter I went skiing in the mountains because I love the snow.
skin,A2,She put sunscreen on her skin because the sun was very hot at the beach.
sky,A2,"The sky was very blue, so we decided to go to the park."
slowly,A2,He walked slowly to the bus stop because he was not in a hurry.
smartphone,A2,He bought a new smartphone because his old one stopped working.
smell,A2,The cake smelled delicious because my mother baked it this morning.
smile,A2,She smiled at the shop assistant because he helped her find the right size.
smoke,A2,He saw smoke coming from the kitchen and called for help.
smoking,A2,He stopped smoking last year because it was too expensive.
soap,A2,He bought some soap at the shop because he wanted to wash his hands.
soccer,A2,Yesterday I played soccer with my friends because the weather was nice.
social,A2,She went to the social club because she wanted to meet her friends.
society,A2,He joined a local society because he wanted to meet new people.
sock,A2,Yesterday I bought a new pair of socks because my old ones had a hole.
soft,A2,"The bread was soft and fresh, so I bought it for breakfast."
soldier,A2,The soldier walked to the shop because he wanted to buy food for his family.
solution,A2,She found a good solution for the problem because she asked her friend for help.
solve,A2,"Yesterday, I could not solve the math problem, and my teacher helped me."
somewhere,A2,"He wanted to go somewhere new for his holiday, so he booked a trip to the beach."
sort,A2,I sorted my clothes into piles because I wanted to pack for the trip.
source,A2,"The source of the water was the river, and we used it for cooking."
speaker,A2,The speaker talked about his trip to London because he wanted to share his experiences.
specific,A2,He asked for a specific book because he wanted to read it on the train.
speech,A2,He gave a short speech at the party because it was his friend's birthday.
speed,A2,He drove at a high speed because he was late for the train.
spider,A2,"I saw a spider in the bathroom yesterday, and I called my mother because I was scared."
spoon,A2,I used a spoon to eat my soup because it was too hot to drink.
